FIPS,County,State,Country,County and State,Lat,Long,Confirmed,Deaths,Active,Avg Household Size,Avg Number of Children per Household,Avg Number of Adults per Household,Total Population 65 and Older,Total Number of Workers 16 Years Old and Over,Percent of Workers Using Public Transport,Total Population,Total Population White,Percent of Population White,Total Population African American or Black,Percent of Population African American or Black,Total Population American Indian or Alaskan Native,Percent of Population American Indian or Alaskan Native,Total Population Asian,Percent of Population Asian,Total Population Native Hawaiian and Pacific Islander,Percent of Population Native Hawaiian and Pacific Islander
1003,Baldwin,Alabama,US,"Baldwin County, Alabama",30.72774991,-87.72207058,38,1,0,2.46,0.57,1.89,40665,91420,0.1,218022,187759,0.8612,20554,0.0943,1276,0.0059,2338,0.0107,45,0.0002
1015,Calhoun,Alabama,US,"Calhoun County, Alabama",33.77483727,-85.82630386,34,0,0,2.44,0.57,1.87,19386,47147,0.3,114277,85046,0.7442,24737,0.2165,107,0.0009,426,0.0037,0,0
1043,Cullman,Alabama,US,"Cullman County, Alabama",34.13020303,-86.86888037,20,1,0,2.49,0.58,1.91,14803,32668,0.1,83442,78643,0.9425,906,0.0109,301,0.0036,166,0.002,0,0
1049,DeKalb,Alabama,US,"DeKalb County, Alabama",34.45946862,-85.80782906,14,0,0,2.62,0.68,1.94,11619,28264,0.1,71385,60157,0.8427,1335,0.0187,868,0.0122,173,0.0024,0,0
1051,Elmore,Alabama,US,"Elmore County, Alabama",32.59785413,-86.14415284,19,0,0,2.61,0.66,1.95,11770,33582,0.1,81887,60622,0.7403,17113,0.209,345,0.0042,522,0.0064,0,0
1055,Etowah,Alabama,US,"Etowah County, Alabama",34.04567266,-86.04051873,41,3,0,2.43,0.57,1.87,18877,41319,0.2,102501,81129,0.7915,17474,0.1705,209,0.002,862,0.0084,0,0
1069,Houston,Alabama,US,"Houston County, Alabama",31.15197924,-85.29939599,22,1,0,2.44,0.6,1.84,17615,43707,0.1,104722,72687,0.6941,29214,0.279,66,0.0006,700,0.0067,0,0
1073,Jefferson,Alabama,US,"Jefferson County, Alabama",33.55554728,-86.895063,423,10,0,2.44,0.58,1.85,99146,297470,0.9,659300,341227,0.5176,282596,0.4286,1786,0.0027,9564,0.0145,724,0.0011
1077,Lauderdale,Alabama,US,"Lauderdale County, Alabama",34.90171875,-87.65624729,16,2,0,2.35,0.52,1.83,17876,39558,0,92387,80452,0.8708,9614,0.1041,89,0.001,667,0.0072,133,0.0014
1081,Lee,Alabama,US,"Lee County, Alabama",32.60154883,-85.35132246,113,3,0,2.44,0.57,1.87,17739,72229,0.7,163941,115009,0.7015,38323,0.2338,453,0.0028,6950,0.0424,0,0
1083,Limestone,Alabama,US,"Limestone County, Alabama",34.81185586,-86.98310072,33,0,0,2.54,0.63,1.91,13723,39277,0.2,96174,75365,0.7836,13504,0.1404,702,0.0073,1377,0.0143,0,0
1089,Madison,Alabama,US,"Madison County, Alabama",34.76327133,-86.55069633,141,2,0,2.43,0.59,1.84,51308,171047,0.2,366519,245460,0.6697,88541,0.2416,1201,0.0033,9303,0.0254,27,0.0001
1095,Marshall,Alabama,US,"Marshall County, Alabama",34.36975964,-86.30486727,33,1,0,2.57,0.65,1.92,15941,38549,0.5,96109,87628,0.9118,3727,0.0388,269,0.0028,385,0.004,0,0
1097,Mobile,Alabama,US,"Mobile County, Alabama",30.78472347,-88.20842409,143,6,0,2.56,0.65,1.91,63650,172096,0.5,413757,239651,0.5792,150188,0.363,3056,0.0074,8037,0.0194,138,0.0003
1101,Montgomery,Alabama,US,"Montgomery County, Alabama",32.2206831,-86.20969272,71,1,0,2.45,0.62,1.83,32183,99723,0.5,225763,78367,0.3471,132366,0.5863,518,0.0023,7122,0.0315,0,0
1103,Morgan,Alabama,US,"Morgan County, Alabama",34.45500589,-86.85475946,29,0,0,2.5,0.61,1.89,19865,50735,0.4,119089,91390,0.7674,17107,0.1436,327,0.0027,613,0.0051,0,0
1115,St. Clair,Alabama,US,"St. Clair County, Alabama",33.71902176,-86.31029372,31,0,0,2.58,0.63,1.95,13891,38109,0.2,88690,76382,0.8612,8976,0.1012,155,0.0017,715,0.0081,0,0
1117,Shelby,Alabama,US,"Shelby County, Alabama",33.26879845,-86.66232561,147,5,0,2.6,0.67,1.93,30125,104383,0,215707,172086,0.7978,27162,0.1259,372,0.0017,4767,0.0221,27,0.0001
1121,Talladega,Alabama,US,"Talladega County, Alabama",33.37823223,-86.16886178,20,0,0,2.48,0.6,1.88,13757,30336,0.4,79828,50857,0.6371,27226,0.3411,433,0.0054,110,0.0014,0,0
1125,Tuscaloosa,Alabama,US,"Tuscaloosa County, Alabama",33.28726072,-87.52556818,73,0,0,2.42,0.55,1.87,25685,92238,0.3,208911,135323,0.6478,67036,0.3209,529,0.0025,3471,0.0166,0,0
1127,Walker,Alabama,US,"Walker County, Alabama",33.80270512,-87.30027177,54,0,0,2.49,0.57,1.92,12024,24210,0.2,63711,57117,0.8965,3863,0.0606,98,0.0015,141,0.0022,0,0
2020,Anchorage,Alaska,US,"Anchorage Municipality, Alaska",61.14998174,-149.1426986,88,1,0,2.64,0.7,1.94,29492,155065,1.6,291538,181491,0.6225,16679,0.0572,22022,0.0755,28273,0.097,6105,0.0209
2090,Fairbanks North Star,Alaska,US,"Fairbanks North Star Borough, Alaska",64.80726247,-146.5692662,0,0,0,2.56,0.68,1.88,9124,51749,1,98971,74307,0.7508,4941,0.0499,8025,0.0811,2956,0.0299,734,0.0074
2170,Matanuska-Susitna,Alaska,US,"Matanuska-Susitna Borough, Alaska",62.31305045,-149.5741743,4,0,0,2.75,0.8,1.95,11030,42213,0.8,107610,88760,0.8248,901,0.0084,8317,0.0773,1943,0.0181,77,0.0007
4001,Apache,Arizona,US,"Apache County, Arizona",35.5313,-109.3783,58,0,0,3.1,0.99,2.11,10420,18161,1.1,71818,16256,0.2263,411,0.0057,53873,0.7501,416,0.0058,59,0.0008
4003,Cochise,Arizona,US,"Cochise County, Arizona",31.87934684,-109.7516088,9,0,0,2.46,0.59,1.87,26550,46139,0.8,126770,109392,0.8629,4814,0.038,1738,0.0137,2511,0.0198,210,0.0017
4005,Coconino,Arizona,US,"Coconino County, Arizona",35.6648,-111.4753,257,10,0,2.69,0.68,2.01,16259,65014,1.5,142854,90589,0.6341,1882,0.0132,38177,0.2672,2687,0.0188,0,0
4013,Maricopa,Arizona,US,"Maricopa County, Arizona",33.34835867,-112.4918154,1433,31,0,2.67,0.71,1.95,615277,1976339,2.1,4410824,3466879,0.786,257889,0.0585,91630,0.0208,184809,0.0419,10478,0.0024
4015,Mohave,Arizona,US,"Mohave County, Arizona",35.70471703,-113.7577902,20,0,0,2.39,0.5,1.89,59337,69705,0.9,209550,191170,0.9123,2409,0.0115,4346,0.0207,2518,0.012,1492,0.0071
4017,Navajo,Arizona,US,"Navajo County, Arizona",35.402,-110.1403,359,1,0,2.95,0.89,2.06,18351,32649,1.1,110445,53702,0.4862,892,0.0081,49902,0.4518,636,0.0058,9,0.0001
4019,Pima,Arizona,US,"Pima County, Arizona",32.0971334,-111.7890033,415,13,0,2.46,0.58,1.88,190252,436164,2.5,1039073,771880,0.7429,37940,0.0365,45440,0.0437,30481,0.0293,1431,0.0014
4021,Pinal,Arizona,US,"Pinal County, Arizona",32.90525627,-111.3449483,106,0,0,2.78,0.79,1.99,80907,147358,0.2,447138,359718,0.8045,19947,0.0446,22140,0.0495,7233,0.0162,1487,0.0033
4025,Yavapai,Arizona,US,"Yavapai County, Arizona",34.59933926,-112.5538588,49,0,0,2.28,0.44,1.84,66850,82379,0.4,231993,209300,0.9022,1876,0.0081,2296,0.0099,2581,0.0111,367,0.0016
4027,Yuma,Arizona,US,"Yuma County, Arizona",32.76895712,-113.9066674,13,0,0,2.93,0.85,2.08,37429,77625,1.9,212128,185580,0.8748,5942,0.028,2428,0.0114,3254,0.0153,91,0.0004
5007,Benton,Arkansas,US,"Benton County, Arkansas",36.33644656,-94.25680817,42,0,0,2.67,0.75,1.92,33925,124323,0.1,272608,238256,0.874,5133,0.0188,3587,0.0132,10627,0.039,1835,0.0067
5031,Craighead,Arkansas,US,"Craighead County, Arkansas",35.83018283,-90.63235729,20,0,0,2.49,0.64,1.85,14104,47760,0.5,108558,85821,0.7906,17485,0.1611,326,0.003,660,0.0061,0,0
5045,Faulkner,Arkansas,US,"Faulkner County, Arkansas",35.14719007,-92.33717519,47,1,0,2.56,0.65,1.91,14488,56787,0.1,124806,102041,0.8176,13893,0.1113,800,0.0064,1626,0.013,0,0
5051,Garland,Arkansas,US,"Garland County, Arkansas",34.57692074,-93.14921604,41,0,0,2.29,0.48,1.81,22442,39420,0.5,99154,85417,0.8615,7374,0.0744,1004,0.0101,1048,0.0106,0,0
5069,Jefferson,Arkansas,US,"Jefferson County, Arkansas",34.26767081,-91.92619839,62,0,0,2.49,0.64,1.85,11468,25511,0.2,68114,27109,0.398,39238,0.5761,230,0.0034,659,0.0097,0,0
5085,Lonoke,Arkansas,US,"Lonoke County, Arkansas",34.75392199,-91.88742357,17,0,0,2.68,0.74,1.94,9272,32564,0.2,73657,65323,0.8869,5335,0.0724,178,0.0024,618,0.0084,21,0.0003
5119,Pulaski,Arkansas,US,"Pulaski County, Arkansas",34.77054088,-92.31355101,161,2,0,2.36,0.58,1.78,56988,183844,0.8,392680,216820,0.5522,145102,0.3695,2096,0.0053,9042,0.023,387,0.001
5125,Saline,Arkansas,US,"Saline County, Arkansas",34.64916145,-92.67583224,29,0,0,2.55,0.63,1.92,20250,55755,0,121421,106756,0.8792,9542,0.0786,321,0.0026,1495,0.0123,481,0.004
5131,Sebastian,Arkansas,US,"Sebastian County, Arkansas",35.19605503,-94.27162713,8,0,0,2.49,0.64,1.85,19388,55899,0.6,127753,91102,0.7131,8867,0.0694,1289,0.0101,6340,0.0496,57,0.0004
5143,Washington,Arkansas,US,"Washington County, Arkansas",35.976844,-94.21800746,29,0,0,2.56,0.67,1.89,25435,108651,0.6,236961,181620,0.7665,8323,0.0351,3461,0.0146,6287,0.0265,5877,0.0248
5145,White,Arkansas,US,"White County, Arkansas",35.25688493,-91.74908296,25,0,0,2.52,0.63,1.89,12425,31879,0.1,78727,71855,0.9127,3569,0.0453,513,0.0065,749,0.0095,0,0
6001,Alameda,California,US,"Alameda County, California",37.64629437,-121.8929271,588,13,0,2.7,0.62,2.08,215917,767292,15,1666753,643907,0.3863,172152,0.1033,10645,0.0064,513491,0.3081,14224,0.0085
6007,Butte,California,US,"Butte County, California",39.66727762,-121.6005252,11,0,0,2.45,0.52,1.93,40219,92011,1.2,231256,186452,0.8063,4019,0.0174,2274,0.0098,10017,0.0433,360,0.0016
6013,Contra Costa,California,US,"Contra Costa County, California",37.91923498,-121.9289527,417,7,0,2.77,0.69,2.08,169782,532887,10.6,1150215,622301,0.541,101253,0.088,7347,0.0064,195848,0.1703,5718,0.005
6017,El Dorado,California,US,"El Dorado County, California",38.77965956,-120.5233166,22,0,0,2.55,0.58,1.97,36751,81390,1.7,190678,169150,0.8871,1221,0.0064,924,0.0048,8834,0.0463,525,0.0028
6019,Fresno,California,US,"Fresno County, California",36.75733899,-119.6466953,108,1,0,3.15,0.96,2.2,114438,387400,1.2,994400,643787,0.6474,45504,0.0458,15894,0.016,103204,0.1038,1252,0.0013
6023,Humboldt,California,US,"Humboldt County, California",40.69923009,-123.876044,44,0,0,2.31,0.48,1.84,22647,58275,2,136373,106163,0.7785,1553,0.0114,6438,0.0472,4610,0.0338,33,0.0002
6025,Imperial,California,US,"Imperial County, California",33.0393082,-115.3669042,65,3,0,3.34,1.04,2.3,22446,59142,0.8,181827,117180,0.6445,4201,0.0231,1035,0.0057,2801,0.0154,204,0.0011
6029,Kern,California,US,"Kern County, California",35.34329425,-118.7277796,239,2,0,3.15,0.99,2.16,92005,333091,0.8,896764,673595,0.7511,50289,0.0561,8106,0.009,44299,0.0494,1656,0.0018
6031,Kings,California,US,"Kings County, California",36.07409056,-119.8159973,5,0,0,3.19,1.03,2.16,14567,55612,0.3,151366,96634,0.6384,10428,0.0689,1502,0.0099,6833,0.0451,273,0.0018
6033,Lake,California,US,"Lake County, California",39.10124298,-122.7536244,1,0,0,2.39,0.51,1.88,13941,22611,0.7,64382,47341,0.7353,1546,0.024,3040,0.0472,622,0.0097,15,0.0002
6037,Los Angeles,California,US,"Los Angeles County, California",34.30828379,-118.2282411,6377,147,0,2.98,0.74,2.24,1299277,4749180,6,10105518,5184112,0.513,811476,0.0803,76089,0.0075,1492554,0.1477,28376,0.0028
6039,Madera,California,US,"Madera County, California",37.21513971,-119.7665589,28,2,0,3.28,0.99,2.3,20797,53980,0.5,157672,91440,0.5799,5417,0.0344,1510,0.0096,3619,0.023,132,0.0008
6041,Marin,California,US,"Marin County, California",38.07122463,-122.7210631,141,7,0,2.36,0.5,1.85,54625,128692,9.5,259666,206330,0.7946,6312,0.0243,275,0.0011,16431,0.0633,466,0.0018
6045,Mendocino,California,US,"Mendocino County, California",39.4381191,-123.3911313,4,0,0,2.46,0.55,1.9,17845,36532,0.2,87606,73040,0.8337,294,0.0034,3434,0.0392,2190,0.025,153,0.0017
6047,Merced,California,US,"Merced County, California",37.18922369,-120.7209035,29,1,0,3.32,1.06,2.25,29320,98647,1.2,274765,157100,0.5718,9118,0.0332,2300,0.0084,20204,0.0735,1094,0.004
6053,Monterey,California,US,"Monterey County, California",36.21862405,-121.2413397,62,2,0,3.15,0.88,2.27,55515,187205,1.6,435594,205303,0.4713,11753,0.027,6540,0.015,25748,0.0591,2232,0.0051
6055,Napa,California,US,"Napa County, California",38.50735751,-122.332839,22,2,0,2.69,0.64,2.05,25360,69074,1.7,139417,106436,0.7634,2237,0.016,1011,0.0073,12249,0.0879,202,0.0014
6057,Nevada,California,US,"Nevada County, California",39.30394768,-120.7627281,32,1,0,2.35,0.46,1.89,25177,42329,0.8,99696,91285,0.9156,534,0.0054,345,0.0035,1249,0.0125,158,0.0016
6059,Orange,California,US,"Orange County, California",33.70147516,-117.7645998,882,14,0,2.99,0.74,2.25,440488,1546371,2,3185968,1922991,0.6036,59872,0.0188,13213,0.0041,666421,0.2092,10196,0.0032
6061,Placer,California,US,"Placer County, California",39.06167234,-120.7240569,106,3,0,2.6,0.64,1.96,71099,170441,1.2,393149,322796,0.8211,6738,0.0171,2028,0.0052,30817,0.0784,667,0.0017
6065,Riverside,California,US,"Riverside County, California",33.74314981,-115.9933578,946,25,0,3.14,0.9,2.24,328609,984230,1.3,2450758,1486443,0.6065,160065,0.0653,17330,0.0071,163182,0.0666,7783,0.0032
6067,Sacramento,California,US,"Sacramento County, California",38.45106826,-121.3425374,462,18,0,2.71,0.7,2.01,202207,671083,2.6,1540975,874105,0.5672,152261,0.0988,11548,0.0075,248351,0.1612,18375,0.0119
6071,San Bernardino,California,US,"San Bernardino County, California",34.84060306,-116.1774685,373,13,0,3.26,0.97,2.29,233343,881534,1.5,2171603,1320579,0.6081,178755,0.0823,19292,0.0089,157436,0.0725,6908,0.0032
6073,San Diego,California,US,"San Diego County, California",33.03484597,-116.7365326,1326,19,0,2.75,0.66,2.09,439595,1603486,2.9,3343364,2373583,0.7099,171408,0.0513,20446,0.0061,401745,0.1202,13943,0.0042
6075,San Francisco,California,US,"San Francisco County, California",37.75215114,-122.4385672,583,9,0,2.26,0.31,1.95,131438,504358,34.2,883305,400727,0.4537,45886,0.0519,2308,0.0026,302795,0.3428,2126,0.0024
6077,San Joaquin,California,US,"San Joaquin County, California",37.93433732,-121.2730061,206,11,0,3.12,0.93,2.19,89461,295859,1.5,752660,436288,0.5797,54996,0.0731,4560,0.0061,120792,0.1605,4351,0.0058
6079,San Luis Obispo,California,US,"San Luis Obispo County, California",35.38822029,-120.4039028,95,1,0,2.48,0.5,1.98,52758,128339,1.2,284010,248227,0.874,5123,0.018,1731,0.0061,10265,0.0361,235,0.0008
6081,San Mateo,California,US,"San Mateo County, California",37.4228808,-122.3275546,579,13,0,2.75,0.62,2.13,117867,401339,10.7,769545,385286,0.5007,16374,0.0213,3089,0.004,226445,0.2943,8787,0.0114
6083,Santa Barbara,California,US,"Santa Barbara County, California",34.65329488,-120.0188492,174,2,0,2.86,0.69,2.17,64775,207593,3.1,446527,349976,0.7838,9371,0.021,6202,0.0139,24922,0.0558,500,0.0011
6085,Santa Clara,California,US,"Santa Clara County, California",37.23104908,-121.6970462,1207,39,0,2.9,0.71,2.19,246908,955422,4.3,1937570,859705,0.4437,49486,0.0255,8791,0.0045,721307,0.3723,6751,0.0035
6087,Santa Cruz,California,US,"Santa Cruz County, California",37.05580291,-122.0066524,69,1,0,2.66,0.58,2.08,41001,131355,2.9,274255,201567,0.735,2874,0.0105,954,0.0035,13521,0.0493,388,0.0014
6089,Shasta,California,US,"Shasta County, California",40.76391419,-122.0396884,20,3,0,2.48,0.56,1.92,35621,70789,0.7,180040,153562,0.8529,2080,0.0116,4384,0.0244,5654,0.0314,341,0.0019
6095,Solano,California,US,"Solano County, California",38.26827353,-121.9357113,73,1,0,2.83,0.71,2.11,64390,200623,3,446610,237882,0.5326,59795,0.1339,2524,0.0057,70209,0.1572,4869,0.0109
6097,Sonoma,California,US,"Sonoma County, California",38.52746429,-122.8862506,111,2,0,2.55,0.57,1.98,91097,247521,1.8,499942,369293,0.7387,8049,0.0161,5039,0.0101,21637,0.0433,1176,0.0024
6099,Stanislaus,California,US,"Stanislaus County, California",37.55862499,-120.9970722,71,0,0,3.08,0.89,2.19,67770,215593,0.8,549815,434015,0.7894,16865,0.0307,5011,0.0091,28148,0.0512,4616,0.0084
6101,Sutter,California,US,"Sutter County, California",39.03417539,-121.6945899,16,2,0,2.98,0.83,2.15,14228,38011,0.9,96807,66617,0.6881,2001,0.0207,888,0.0092,13831,0.1429,1399,0.0145
6107,Tulare,California,US,"Tulare County, California",36.22026558,-118.8020203,135,6,0,3.36,1.1,2.25,50391,172133,0.7,465861,332150,0.713,8947,0.0192,4550,0.0098,17675,0.0379,711,0.0015
6111,Ventura,California,US,"Ventura County, California",34.44465746,-119.0910613,221,6,0,3.04,0.79,2.25,123435,404178,1.2,850967,685974,0.8061,14696,0.0173,5106,0.006,64523,0.0758,1632,0.0019
6113,Yolo,California,US,"Yolo County, California",38.68278902,-121.9018288,37,1,0,2.74,0.64,2.1,25441,95318,4.2,220408,158000,0.7169,6684,0.0303,925,0.0042,31615,0.1434,1102,0.005
6115,Yuba,California,US,"Yuba County, California",39.26255932,-121.3535644,11,0,0,2.92,0.86,2.06,9075,29756,0.9,78041,60004,0.7689,2132,0.0273,1513,0.0194,5721,0.0733,1025,0.0131
8001,Adams,Colorado,US,"Adams County, Colorado",39.87432092,-104.3362578,367,12,0,2.85,0.82,2.03,49181,251973,3.7,511868,416894,0.8145,16804,0.0328,5317,0.0104,18457,0.0361,362,0.0007
8005,Arapahoe,Colorado,US,"Arapahoe County, Colorado",39.64977461,-104.3353617,652,15,0,2.53,0.66,1.88,78627,335532,4.2,651215,469233,0.7206,73002,0.1121,5249,0.0081,38778,0.0595,1526,0.0023
8013,Boulder,Colorado,US,"Boulder County, Colorado",40.09313619,-105.3546767,189,3,0,2.39,0.53,1.87,42068,170024,4.7,326078,286455,0.8785,3185,0.0098,1804,0.0055,14360,0.044,117,0.0004
8014,Broomfield,Colorado,US,"Broomfield County, Colorado",39.95998787,-105.0566324,50,2,0,2.6,0.68,1.91,8499,36290,3.6,69267,60869,0.8788,1103,0.0159,196,0.0028,4951,0.0715,0,0
8031,Denver,Colorado,US,"Denver County, Colorado",39.76018276,-104.8725695,847,15,0,2.22,0.49,1.73,78751,382460,6.5,716492,544519,0.76,64199,0.0896,6686,0.0093,26827,0.0374,1213,0.0017
8035,Douglas,Colorado,US,"Douglas County, Colorado",39.33133796,-104.930001,227,3,0,2.79,0.85,1.94,35801,174600,1.9,342776,305784,0.8921,5180,0.0151,1497,0.0044,16299,0.0476,87,0.0003
8041,El Paso,Colorado,US,"El Paso County, Colorado",38.83240149,-104.5251411,441,28,0,2.56,0.69,1.87,83244,337619,0.8,713856,568933,0.797,45510,0.0638,5466,0.0077,20891,0.0293,2548,0.0036
8059,Jefferson,Colorado,US,"Jefferson County, Colorado",39.58635604,-105.2517692,540,18,0,2.42,0.54,1.87,88707,308470,3.4,580233,524901,0.9046,6402,0.011,4120,0.0071,18397,0.0317,89,0.0002
8069,Larimer,Colorado,US,"Larimer County, Colorado",40.66671597,-105.4625784,158,8,0,2.42,0.53,1.89,49587,174527,1.5,350518,320513,0.9144,3523,0.0101,1972,0.0056,7779,0.0222,214,0.0006
8077,Mesa,Colorado,US,"Mesa County, Colorado",39.01787888,-108.469799,25,0,0,2.46,0.59,1.87,26902,68296,0.4,153207,143773,0.9384,1426,0.0093,2200,0.0144,1956,0.0128,14,0.0001
8101,Pueblo,Colorado,US,"Pueblo County, Colorado",38.17359144,-104.5127437,42,2,0,2.46,0.62,1.84,29234,66713,1,167529,137420,0.8203,3615,0.0216,5493,0.0328,1342,0.008,79,0.0005
8123,Weld,Colorado,US,"Weld County, Colorado",40.55499405,-104.3929621,504,26,0,2.76,0.79,1.98,34304,143802,0.5,314305,284731,0.9059,4398,0.014,1447,0.0046,4725,0.015,1069,0.0034
9001,Fairfield,Connecticut,US,"Fairfield County, Connecticut",41.26809896,-73.3881171,3719,101,0,2.68,0.68,2,143419,466283,10,943823,672515,0.7125,108358,0.1148,2417,0.0026,52072,0.0552,494,0.0005
9003,Hartford,Connecticut,US,"Hartford County, Connecticut",41.80283011,-72.73103891,882,31,0,2.47,0.58,1.89,147260,439172,3.2,892697,632985,0.7091,125302,0.1404,2111,0.0024,49780,0.0558,477,0.0005
9005,Litchfield,Connecticut,US,"Litchfield County, Connecticut",41.7937534,-73.2451475,230,8,0,2.44,0.53,1.91,36456,95382,1.3,181111,166880,0.9214,3296,0.0182,284,0.0016,2813,0.0155,0,0
9007,Middlesex,Connecticut,US,"Middlesex County, Connecticut",41.45949668,-72.53714864,135,7,0,2.39,0.52,1.87,31052,87502,1.4,162682,142250,0.8744,10306,0.0634,174,0.0011,5421,0.0333,46,0.0003
9009,New Haven,Connecticut,US,"New Haven County, Connecticut",41.4080325,-72.93620426,1468,41,0,2.49,0.57,1.92,142411,420437,4.1,857620,624693,0.7284,120459,0.1405,2541,0.003,35199,0.041,0,0
9011,New London,Connecticut,US,"New London County, Connecticut",41.48896435,-72.10430976,65,4,0,2.44,0.56,1.88,46320,137429,1.5,266784,212183,0.7953,17171,0.0644,1346,0.005,11344,0.0425,0,0
9013,Tolland,Connecticut,US,"Tolland County, Connecticut",41.85853803,-72.3308481,103,13,0,2.51,0.57,1.94,22405,77508,1.9,150921,132634,0.8788,4158,0.0276,232,0.0015,7604,0.0504,0,0
9015,Windham,Connecticut,US,"Windham County, Connecticut",41.82972709,-71.98182316,40,1,0,2.54,0.58,1.95,18257,56940,0.5,117027,103996,0.8886,2502,0.0214,402,0.0034,1622,0.0139,0,0
10001,Kent,Delaware,US,"Kent County, Delaware",39.08646628,-75.56884914,128,3,0,2.62,0.67,1.95,28461,79753,1,178550,116529,0.6526,45522,0.255,1556,0.0087,4144,0.0232,106,0.0006
10003,New Castle,Delaware,US,"New Castle County, Delaware",39.57992638,-75.64054974,496,9,0,2.57,0.61,1.96,81440,269434,3.9,559335,353694,0.6323,144954,0.2592,1512,0.0027,31543,0.0564,357,0.0006
10005,Sussex,Delaware,US,"Sussex County, Delaware",38.66143781,-75.39031349,159,3,0,2.45,0.51,1.94,57228,95721,0.5,229286,189558,0.8267,27118,0.1183,1329,0.0058,3336,0.0145,433,0.0019
11001,District of Columbia,District of Columbia,US,"District of Columbia, District of Columbia",38.90417773,-77.01655992,1097,24,0,2.11,0.37,1.73,81712,366168,34.8,702455,296747,0.4224,319777,0.4552,1932,0.0028,27538,0.0392,397,0.0006
12001,Alachua,Florida,US,"Alachua County, Florida",29.67866525,-82.35928158,131,0,0,2.32,0.44,1.88,34804,121455,3.9,269956,186822,0.692,52720,0.1953,970,0.0036,17015,0.063,284,0.0011
12005,Bay,Florida,US,"Bay County, Florida",30.26548745,-85.62122584,24,1,0,2.41,0.54,1.87,30160,82472,1,185287,146936,0.793,19301,0.1042,877,0.0047,3867,0.0209,62,0.0003
12009,Brevard,Florida,US,"Brevard County, Florida",28.29409504,-80.73091022,88,0,0,2.33,0.47,1.86,133083,242260,0.6,596849,491473,0.8234,57559,0.0964,1788,0.003,14941,0.025,611,0.001
12011,Broward,Florida,US,"Broward County, Florida",26.15184651,-80.48725556,2067,46,0,2.52,0.57,1.95,303981,931338,2.6,1951260,1161467,0.5952,562696,0.2884,6018,0.0031,72663,0.0372,1816,0.0009
12015,Charlotte,Florida,US,"Charlotte County, Florida",26.90131002,-81.92949121,55,1,0,2.14,0.31,1.83,69046,59324,0.2,184998,167034,0.9029,9781,0.0529,224,0.0012,2517,0.0136,215,0.0012
12017,Citrus,Florida,US,"Citrus County, Florida",28.84804315,-82.47614748,45,2,0,2.2,0.35,1.84,51358,44564,0.3,147929,136707,0.9241,4284,0.029,430,0.0029,2155,0.0146,0,0
12019,Clay,Florida,US,"Clay County, Florida",29.98319144,-81.85609986,81,6,0,2.76,0.73,2.03,30931,93222,0.1,216072,168786,0.7812,24859,0.115,35,0.0002,5712,0.0264,0,0
12021,Collier,Florida,US,"Collier County, Florida",26.11091986,-81.34687065,246,2,0,2.38,0.47,1.91,112279,150654,2.2,378488,334685,0.8843,26009,0.0687,810,0.0021,5521,0.0146,112,0.0003
12023,Columbia,Florida,US,"Columbia County, Florida",30.22509788,-82.62160164,13,0,0,2.52,0.61,1.91,12424,25449,0.1,70503,53675,0.7613,11899,0.1688,364,0.0052,354,0.005,0,0
12031,Duval,Florida,US,"Duval County, Florida",30.33225875,-81.66976468,475,9,0,2.47,0.59,1.87,123480,445117,1.8,950181,566932,0.5967,278340,0.2929,3413,0.0036,44256,0.0466,409,0.0004
12033,Escambia,Florida,US,"Escambia County, Florida",30.67652764,-87.37284571,136,1,0,2.41,0.55,1.86,50472,141575,0.6,315534,214141,0.6787,71301,0.226,1814,0.0057,11379,0.0361,421,0.0013
12035,Flagler,Florida,US,"Flagler County, Florida",29.45933576,-81.31508595,32,1,0,2.42,0.49,1.94,31580,40049,0.4,112067,92191,0.8226,11266,0.1005,0,0,2828,0.0252,0,0
12053,Hernando,Florida,US,"Hernando County, Florida",28.55364461,-82.42700204,48,0,0,2.38,0.48,1.91,50317,65071,0.3,190865,168354,0.8821,10761,0.0564,662,0.0035,2139,0.0112,0,0
12055,Highlands,Florida,US,"Highlands County, Florida",27.34254618,-81.34071957,35,2,0,2.28,0.42,1.86,35532,32095,1.1,105424,84051,0.7973,10117,0.096,0,0,921,0.0087,0,0
12057,Hillsborough,Florida,US,"Hillsborough County, Florida",27.9276559,-82.32013172,571,5,0,2.55,0.62,1.93,189676,660016,1.5,1436888,1003558,0.6984,241095,0.1678,3754,0.0026,58301,0.0406,388,0.0003
12061,Indian River,Florida,US,"Indian River County, Florida",27.69308961,-80.60556721,61,0,0,2.26,0.43,1.84,47735,55963,0.3,157413,135869,0.8631,13492,0.0857,717,0.0046,1188,0.0075,264,0.0017
12069,Lake,Florida,US,"Lake County, Florida",28.76202069,-81.7125123,104,2,0,2.42,0.51,1.91,88151,133219,0.3,356495,293920,0.8245,41098,0.1153,1760,0.0049,6928,0.0194,155,0.0004
12071,Lee,Florida,US,"Lee County, Florida",26.58410348,-81.88399313,397,12,0,2.35,0.46,1.88,198022,293718,0.7,754610,632400,0.838,68105,0.0903,614,0.0008,12403,0.0164,399,0.0005
12073,Leon,Florida,US,"Leon County, Florida",30.45955727,-84.27491114,59,0,0,2.35,0.48,1.86,35700,142705,1.8,292502,178125,0.609,91171,0.3117,523,0.0018,11278,0.0386,148,0.0005
